Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 360.000.000
Casa,Casa en venta en Castilla,"Castilla, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños170 m²,$ 670.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños144 / 144 m²,$ 1.120.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños154 / 134 m²,$ 890.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños128 m²,$ 970.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños62 m²,$ 510.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños62 m²,$ 500.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños212 m²,$ 2.350.000.000
Apartamento,Apartamento en venta en El Chicó,"El Chicó, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños159 / 159 m²,$ 850.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños80 m²,$ 642.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños80 m²,$ 652.000.000
Casa,Casa en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 / 59 m²,$ 168.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño45 / 45 m²,$ 205.000.000
Casa,Casa en venta en Marly,"Marly, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones3 baños147 m²,$ 300.000.000
